framework_number,lot_number,lot_description
RM830,3,Policy and technical advice - climate change
RM830,10,Support and deliveries - climate change
RM830,11,Support and deliveries - landscapes and seascapes
RM830,12,Support and deliveries - noise and statutory nuisance
RM830,18,Economics
RM830,6,Policy and technical advice - waste
RM830,13,Support and deliveries - waste
RM830,14,Support and deliveries - water
RM830,9,Support and deliveries - biodiversity
RM830,4,Policy and technical advice - landscapes and seascapes
RM830,7,Policy and technical advice - water
RM830,17,Statistics
RM848,1,Information Management Services
RM848,2,Data Storage Consultancy
RM848,6,Data Quality Solutions
RM848,7,Digital Archiving Solutions
RM848,5,e-Discovery Solutions
RM848,3,Data Conversion and Migration Services
RM849,1,Wash and Return
RM849,2,Linen Hire
RM849,4,Mop Hire
RM849,3,Re-useable Theatre Drapes and Gowns
RM858,1,Vehicle Lease - contract hire of passenger vehicles(inc 4x4s & mini buses)
RM858,7,Vehicle Lease-single source supply of leased passenger vehicles & comm vehi
RM858,2,Vehicle Lease-(contract hire of pass vehicles(inc 4x4 & mini buses) Light c
RM858,6,Vehicle Lease-contract hire of motorcycles with the option to supply quad b
RM858,8,Vehicle Lease - fleet outsource  solution for the total mngmt & sourcing of
RM858,4,Vehicle Lease-contract hire of commercial vehicles 7.5 tonnes & above for a
RM858,5,Vehicle Lease-contract hire of buses & coaches excluding mini buses
RM858,3,Vehicle Lease-contract hire of commercial vehicles 7.5 tonnes & above inc t
RM859,1,Cars including 4x4s
RM859,2,Light to Medium Commercial Vehicles
RM859,4,Motorbikes and Scooters
RM859,5,Buses and Coaches
RM859,3,Heavy Commercial Vehicles
RM860,1,PSN Connectivity
RM865,2,"MANAGEMENT & FINANCE ? Performance Management, Planning and Decision Making"
RM865,5,"Social Care & Education - Libraries, Museums and Leisure related SAS"
RM865,7,Communities - Social Housing Software Application Solutions
RM865,8,Environment & Public Protection - Waste and Environmental Health SAS
RM865,9,Environment & Public Protection - Highways and Transport SAS
RM865,1,"MANAGEMENT & FINANCE ? Revenue, Benefits and Finance SAS"
RM865,3,Social Care & Education - Social Care related SAS
RM865,10,Environment & Public Protection - Planning related SAS
RM865,6,Communities - Electoral Services Software Application Solutions
RM869,8,Traffic Management Research and Consultancy
RM869,4,Traffic and Vehicle Monitoring Services
RM869,7,"National Traffic Control, Urban Traffic Control and Common Database Systems"
RM869,1,Traffic Management Solutions
RM869,2,Traffic Signals and Ramp Metering
RM869,9,Street Lighting Services
RM869,3,Electronic and Interactive Message Signs
RM869,5,Parking and Access Control Services
RM869,6,Environmental Monitoring Services
RM869,10,Traffic Safety
RM869,11,Ancillary Equipment
RM875,3,Generic Steel Framed Buildings - Purchase
RM875,4,Generic Steel Framed Buildings - Lease/Hire
RM875,5,Catering Units - Purchase
RM875,10,Healthcare Units - Lease/ Hire
RM875,6,Catering Units - Lease/Hire
RM875,7,Educational Units - Purchase
RM875,8,Educational Units - Lease/ Hire
RM875,9,Healthcare Units - Purchase
RM875,1,Generic timber framed Buildings - Purchase
RM875,2,Generic Timber Framed Buildings - Lease/ Hire
RM887,1,Payroll Human Resources (HR) and Finance Services
RM917,1,"PG1: Office Stationery, Paper, Janitorial, Machines & Closed Loop"
RM917,2,PG2: Electronic Office Consumables
RM918,1,Global Travel
RM918,2,Domestic Travel
RM919,1,"IT Telecoms, Media and e-commerce"
RM919,7,General Litigation and legal support service
RM919,8,Major or complex projects
RM919,5,Finance and Regulation
RM919,4,General Corporate including tax and inslovency
RM919,2,Property and Estates
RM919,3,Employment and Pensions
RM919,6,General Commercial
RM921,1,Print Management Service including Paper (LCD\00013\2010)
RM922,6,Warewash and Waste Disposal Equipment
RM922,1,Prime Cooking Equipment
RM922,2,Food Preparation Equipment
RM924,1,eDisclosure & Hard Copy Review Services
RM928,1,Estates Professional Services
RM930,1,HMRC Royal Mail Wholesale
RM932,1,Occupational Health Services
RM932,2,Employee Assistance Programmes
RM938,1,Provision of Gas Tight Suits
RM949,5,Grants and Programme Services Managed Services
RM949,2,Communication Promotions and Support to understand Grants and Programme Services
RM949,3,Grants and Programme Services Policy Design and Implementation
RM949,4,Grants and Programme Services Programme Evaluation
RM949,1,Grants and Programme Services Administration Services
RM955,4,Motorcycle
RM955,1,Police
RM955,2,"Car, 4x4, Van"
RM955,3,Truck
RM955,5,Agrarian
RM956,4,"Trailers (including semi-trailers) and Conversions O1, O2, and O3 & O4"
RM956,1,M1 & N1 Conversions and Modifications (and Specialist variants)
RM956,2,M2 & N2 Conversions & Bodybuild (and Specialist variants)
RM956,3,N3 Conversions & Bodybuild
RM956,5,Conversion and Bodybuild of Special Purpose Vehicles
RM956,6,Conversion and Bodybuild of Stretcher Bearing Vehicles
RM956,7,Electrical installation - Supply and Fit
RM958,1,Insurance
RM958,2,Multi Supplier Insurance Brokerage
RM958,4,Insurance Services (no management charge)
RM958,3,Single Supplier Insurance Brokerage
RM959,3,Allied Health Professionals
RM959,4,Health Science Services
RM959,2,Master Vendor Managed Services
RM959,1,Neutral Vendor Managed Services
RM960,3,Managed Service Provision (Provision of Operational and Support Staff roles
RM960,2,Managed Service Provision (Provision of Administration and Clerical roles)
RM960,1,Neutral Vendor
RM963,1,Dedicated Courier Network Service
RM964,1,Demand Side Response Services
RM966,3,TNT UK Ltd - Document Storage - Spend Under Management Contract
RM966,1,Capita Document Storage - Spend Under Management Contract
RM966,2,Iron Mountain Document Storage - Spend Under Management Contract
RM966,4,Derwent Living - Document Storage - Spend Under Management Contract
RM970,2,General
RM970,3,Mental Health
RM970,4,Community and Social Care
RM970,5,Specialist (Midwife/Critical)
RM970,1,Neutral Vendor
RM971,8,Ancillary staff
RM971,4,Corporate Functions
RM971,5,IT Professionals
RM971,6,Legal
RM971,7,Clinical coding
RM971,3,Admin and Clerical
RM971,2,Master Vendor
RM971,1,Neutral Vendor
RM976,3,BT Premier Value - Option 3
RM976,1,BT Premier Value - Option 1
RM976,2,BT Premier Value - Option 2
RM977,2,BT MoU Citizen Contact  (Cloud Services)
RM977,1,BT MOU Citizen Contact (Standard)
RM977,3,BT MoU Citizen Contact (Other Services)
RM978,2,BT Accumulate (Higher Discount)
RM978,3,BT Accumulate (New Higher)
RM978,1,BT Accumulate (Standard Discount)
RM978,4,BT Accumulate (250K)
RM978,5,BT Accumulate (1 Million)
RM979,1,BT Netstream Corporate Egilible
RM979,2,BT Netstream Corporate Non-Egilible
RM979,3,BT Netstream Corporate Contributory
RM980,3,BT Conferencing - (MS Live)
RM980,4,BT Conferencing - (Mixed Services)
RM980,1,BT Conferencing (Audio)
RM980,2,BT Conferencing (Webex)
RM987,1,Translation and Transcription services
RM988,2,DIRECT MARKETING AND RELATED SERVICES
RM988,3,DIGITAL MARKETING AND RELATED SERVICES
RM988,1,MARKETING COMMUNICATIONS AND RELATED SERVICES
RM988,4,PUBLIC RELATIONS AND RELATED SERVICES
RM990,1,Postal Services - Royal Mail Initiative
RM990,1a,Postal Services - Royal Mail Initiative
RM995,1,Computer Based Testing Services
RM999,1,Electricity Supply and Ancillary Services - Additional
RM999,2,Electricity Supply and Ancillary Services - Standard
SCAT,1,IS Strategy
SCAT,6,eCommerce Consultancy
SCAT,7,Security Consultancy and Support
SCAT,11,Application Development
SCAT,10c,Recruitment
SCAT,10d,Training
SCAT,12,Business and Management Cons.
SCAT,9,Telcomms Consultancy
SCAT,3,IT Architecture Design
SCAT,10a,HR Consultancy
SCAT,2,Programme & Project Management
SCAT,4,Requirements Specification
SCAT,10b,Interim Management
SCAT,13,Record And data Mangement
SCAT,5,Body Shop
SCAT,8,PublicPrivate Partnerships
SCAT,14a,Financial Services  Accountancy
SCAT,14b,Financial Services  Audit
SCAT,15c,GIS Application Development
SCAT,15d,GIS Software Provision
SCAT,15f,GIS Training
SCAT,16a,General Information Services
SCAT,16c,Property And Construction Services
SCAT,14c,Financial Consultancy
SCAT,14d,Financial Training
SCAT,15a,GIS Strategy And Technical Services
SCAT,15h,GIS Webmap Authoring
SCAT,16d,IT And Telecomms Services
SCAT,15g,GIS Recruitment
SCAT,15i,GIS Aerial Map Services
SCAT,15b,GIS Geospatial Data
SCAT,15j,GIS Map Making And Reproduction
SCAT,15e,GIS Data Capture Services
SCAT,4a,Requirements Specification (Logica CMG only)
SCAT,16b,Legal Information Services
SCAT,15,Geographical Information
SCAT,10,HR
SCAT,14,Financial Services
SP-11-010,1,ELECTRICITY Scotland
SP-12-005,1,GAS Scotland
